Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1586080516679225344,"Saturno rige Capricornio y Acuario porque absolutamente todo, hasta las transiciones y la innovación, necesita algo de planificación, contención y estructura para ser posible. 
 
#astrología https://t.co/vSrEiUgKBn",Heclist Blanco,eklips07,2022-10-28T19:40:37.000Z,Fri Oct 28 19:40:37 +0000 2022,0,0,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,1,0,animated_gif,https://video.twimg.com/tweet_video/FgLj0X2XgAAML7s.mp4,,,
1586080417995665408,"@Makann_mk @InformaCosmos Aún así de momento es completamente falsa la astrología, no tengo que demostrar que sea falsa, ellos tienen que demostrar que es real, si te digo que tengo un perro invisible e intocable yo te debo demostrar que existe para que me creas, no es tener mente cerrada, es ser realista",francisco veloso,MrPanchoito,2022-10-28T19:40:14.000Z,Fri Oct 28 19:40:14 +0000 2022,0,0,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,2,,,,,
1586080365290344449,RT @pollyxmix : Mas no dia seguinte muda a numerologia e astrologia de nossa vida e não se sabe o que pode acontecer. Alguma sorte ou algum azar. Então o importante é estar sempre de cabeça erguida.,Luis Fernando Rodrigues de Carvalho,pollyxmix,2022-10-28T19:40:01.000Z,Fri Oct 28 19:40:01 +0000 2022,0,0,pt,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,,0,0,,,,,
1586079714720256001,@ShinidrThiago @Astronomiaum @SuminSocialista @hyejoorayet Quando ele ganhar o nobel de astrologia,Nosferatu,apisycho,2022-10-28T19:37:26.000Z,Fri Oct 28 19:37:26 +0000 2022,0,0,pt,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,4,,,,,
1586079617487876096,"busco mutis !!
 #edtw !! ? lana del rey ? astrología
? 166cm
? ugw: 40kg
? cw: 50kg
? 5teen ? argentina ? she/her ?",?,ifawkedurdad,2022-10-28T19:37:03.000Z,Fri Oct 28 19:37:03 +0000 2022,0,0,ca,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,1,0,,,,,
1586079266403385350,@MarceSedai tus padres cuando hablan de astrologia,juan lujan,eljuason_,2022-10-28T19:35:39.000Z,Fri Oct 28 19:35:39 +0000 2022,0,0,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,1,,,,,
1586078662511964161,Mi novio siempre me escucha hablar de astrología pero gané su credibilidad cuando adivine el signo de Messi. golazo.,Chillin’??,estrao_,2022-10-28T19:33:15.000Z,Fri Oct 28 19:33:15 +0000 2022,1,0,es,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,0,0,,,,,
1586078567557128192,"Hoy Júpiter, planeta de la buena suerte y la expansión, vuelve al signo de Piscis por última vez en la década! Momento de cerrar el ciclo, recuerden qué cosas vivieron de mayo/julio del 2021 y dic/mayo de este año! 

Serán solo dos meses, aprovechen~ 

#astrología #horóscopo",astro_laguna,astro_laguna,2022-10-28T19:32:53.000Z,Fri Oct 28 19:32:53 +0000 2022,1,0,es,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,2,0,,,,,
1586078367568125953,"RT @WaldoCasal : Con #Júpiter en #Piscis, deja que las cosas fluyan.?????
#JúpiterEnPiscis #Astrología",Ama Gómez,amagomez28,2022-10-28T19:32:05.000Z,Fri Oct 28 19:32:05 +0000 2022,0,0,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,4,0,,,,,
1586077295881879552,"RT @WaldoCasal : #Júpiter retrocede a #Piscis desde el 28 de octubre al 20 de diciembre y se vuelve directo el 23 de noviembre. 
#Júpiter está en su signo natal y ayuda en el proceso de manifestación de deseos y sueños más profundos. Prepárate para un tiempo de apertura cósmica. #Astrología https://t.co/DyDaZHHf0t",Luis Alberto Velasquez Flores,L_wolf_vf,2022-10-28T19:27:49.000Z,Fri Oct 28 19:27:49 +0000 2022,0,0,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,4,0,animated_gif,https://video.twimg.com/tweet_video/FgHrGeoWIAAE0kW.mp4,,,
1586077283387068422,"RT @RevistaOHLALA : #TaylorSwift y los astros: la razón que explica el lanzamiento de #MidnightsTaylorSwift 
https://t.co/N9zX3Z5SIe https://t.co/lBTR8fBEXm",Sole Venesio ??,SoleVenesio,2022-10-28T19:27:46.000Z,Fri Oct 28 19:27:46 +0000 2022,0,0,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,https://www.somosohlala.com/calidad-de-vida/astrologia/la-razon-astrologica-que-explica-el-lanzamiento-de-midnights-de-taylor-swift-nid28102022 ,2,0,animated_gif,https://video.twimg.com/tweet_video/FgKeam2WAAQsCQB.mp4,,,
1586076441489584131,"RT @WaldoCasal : Con #Júpiter en #Piscis, deja que las cosas fluyan.?????
#JúpiterEnPiscis #Astrología",Luis Alberto Velasquez Flores,L_wolf_vf,2022-10-28T19:24:26.000Z,Fri Oct 28 19:24:26 +0000 2022,0,0,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,4,0,,,,,
1586076295745585152,"justo hoy decidí mandar todo a la mierda, ponerme a meditar, escuchar música y pintar de la nada, ayer empecé con la ansiedad de nuevo?? que difícil esto de tener toda la carta en piscis bue para todo le echaba la culpa a la astrología nunca ir a terapia y resolver los traumas https://t.co/FVsn5I7HKV",Aurora??,Auriorx,2022-10-28T19:23:51.000Z,Fri Oct 28 19:23:51 +0000 2022,0,0,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,https://twitter.com/starsbysil/status/1585971892590186496 ,0,0,,,,,
1586076076450934784,sisi me apasiona la astrología! (y ganar plata),Ciel como el perfume,lovinglyciel,2022-10-28T19:22:59.000Z,Fri Oct 28 19:22:59 +0000 2022,1,0,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,0,,,,,
1586075867272605696,@FueledByDopamin Necesito clases de astrología jajaja me interesa ????,Diego Alejandro,EnzoGorlomi85,2022-10-28T19:22:09.000Z,Fri Oct 28 19:22:09 +0000 2022,0,0,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,1,,,,,
1586075084707332096,@MarcelaPires02 Tô jogando pra astrologia o q não tô sabendo explicar kkkk,Graci,gracisouza__,2022-10-28T19:19:02.000Z,Fri Oct 28 19:19:02 +0000 2022,0,0,pt,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,1,,,,,
1586074309067702273,"RT @RenzoMora : O ódio político tem que terminar com as eleições. Encerrado o segundo turno, vamos deixar de lado o ódio por questões eleitorais e voltar a nos odiar por razões triviais, como sempre fizemos: gosto musical, astrologia, mensagem de áudio…",Paulo Cesar Hopner????????????????,pchopner,2022-10-28T19:15:57.000Z,Fri Oct 28 19:15:57 +0000 2022,0,0,pt,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,,0,0,,,,,
1586073860642058240,"RT @jlmunozt1981 : La astrología es la puerta al consumo de pseudociencias más duras, como el movimiento antivacunas.",Sebastian Ibáñez,sebasibanezavb,2022-10-28T19:14:10.000Z,Fri Oct 28 19:14:10 +0000 2022,0,0,es,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,,,,,
1586073495150231558,"RT @RenzoMora : O ódio político tem que terminar com as eleições. Encerrado o segundo turno, vamos deixar de lado o ódio por questões eleitorais e voltar a nos odiar por razões triviais, como sempre fizemos: gosto musical, astrologia, mensagem de áudio…",Charlie ??,charlie_mouch,2022-10-28T19:12:43.000Z,Fri Oct 28 19:12:43 +0000 2022,0,0,pt,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,,,,,
1586073367861338113,"Tô pensando em fazer uma short inspirada em astrologia (sim, amo tudo relacionado ao universo) um cientista e um astronauta https://t.co/L5EbPhbxS8",Moon ? ?? aus ?? ? ???????,MarsSbitch,2022-10-28T19:12:13.000Z,Fri Oct 28 19:12:13 +0000 2022,0,0,pt,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FgLdUVBXgAAsZvF.jpg,,,
1586073112910577664,"RT @ArmasGiorgio : @ErrorArbitralTR Complicada la clasificación de Perú al próximo Mundial!
Es lo único que puedo decir....
Por Astrología mal debut de DT y peor... Mala convocatoria ??",Luis Menacho,lmenachot,2022-10-28T19:11:12.000Z,Fri Oct 28 19:11:12 +0000 2022,0,0,es,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,1,,,,,
